files,controls
/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dTMEM_1hrTor_40Pos_1_AiryscanProcessing.czi,/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dTMEM_1hrTor_Empty_AiryscanProcessing.czi
/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dTMEM_0hrTor_20Pos_3_AiryscanProcessing.czi,/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dTMEM_0hrTor_Empty_AiryscanProcessing.czi
/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dTMEM_0hrTor_10Pos_2_AiryscanProcessing.czi,/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dTMEM_0hrTor_Empty_AiryscanProcessing.czi
/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dTMEM_0hrTor_10Pos_1_AiryscanProcessing.czi,/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dTMEM_0hrTor_Empty_AiryscanProcessing.czi
/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dFIP200_3hrTor_7Pos_AiryscanProcessing.czi,/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dFIP200_3hrTor_Empty_AiryscanProcessing.czi
/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dFIP200_3hrTor_20Pos_AiryscanProcessing.czi,/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dFIP200_3hrTor_Empty_AiryscanProcessing.czi
/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dFIP200_3hrTor_13Pos_3_AiryscanProcessing.czi,/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dFIP200_3hrTor_Empty_AiryscanProcessing.czi
/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dFIP200_1hrTor_40Pos_1_AiryscanProcessing.czi,/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dFIP200_1hrTor_Empty_AiryscanProcessing.czi
/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dFIP200_0hrTor_20Pos_2_AiryscanProcessing.czi,/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dFIP200_0hrTor_Empty_AiryscanProcessing.czi
/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dFIP200_0hrTor_20Pos_1_AiryscanProcessing.czi,/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dFIP200_0hrTor_Empty_AiryscanProcessing.czi
/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dAtg7_3hrTor_9Pos_3_AiryscanProcessing.czi,/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dAtg7_3hrTor_Empty_AiryscanProcessing.czi
/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dAtg7_3hrTor_9Pos_1_AiryscanProcessing.czi,/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dAtg7_3hrTor_Empty_AiryscanProcessing.czi
/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dAtg7_3hrTor_2Pos_4_AiryscanProcessing.czi,/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dAtg7_3hrTor_Empty_AiryscanProcessing.czi
/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dAtg7_3hrTor_20Pos_2_AiryscanProcessing.czi,/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dAtg7_3hrTor_Empty_AiryscanProcessing.czi
/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dAtg7_1hrTor_20Pos_2_AiryscanProcessing.czi,/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dAtg7_1hrTor_Empty_AiryscanProcessing.czi
/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dAtg7_1hrTor_20Pos_1_AiryscanProcessing.czi,/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dAtg7_1hrTor_Empty_AiryscanProcessing.czi
/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dAtg7_0hrTor_20Pos_2_AiryscanProcessing.czi,/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dAtg7_0hrTor_Empty_AiryscanProcessing.czi
/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dAtg7_0hrTor_20Pos_1_AiryscanProcessing.czi,/n/denic_lab/Lab/TH_Imaging/8.7.17_TH84_Lysoview-LC3_Timecourse_LSM880_Airyscan/Lysoview-LC3_HEK_dAtg7_0hrTor_Empty_AiryscanProcessing.czi
